Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.107,0.180,0.232,0.026,0.029,0.084,0.057,0.007,0.278,0.00,582
Client   1,0.057,0.075,0.064,0.196,0.288,0.142,0.043,0.004,0.014,0.117,281
Client   2,0.015,0.004,0.234,0.010,0.077,0.205,0.002,0.098,0.115,0.240,521
Client   3,0.054,0.289,0.007,0.140,0.013,0.497,0.00,0.00,0.00,0.00,537
Client   4,0.073,0.243,0.046,0.064,0.014,0.018,0.00,0.234,0.041,0.266,218
Client   5,0.071,0.002,0.237,0.019,0.009,0.325,0.231,0.105,0.00,0.00,532
Client   6,0.137,0.058,0.069,0.003,0.007,0.058,0.021,0.261,0.220,0.165,291
Client   7,0.058,0.058,0.086,0.011,0.002,0.160,0.201,0.425,0.00,0.00,537
Client   8,0.068,0.009,0.007,0.173,0.263,0.051,0.013,0.228,0.044,0.143,544
Client   9,0.041,0.045,0.122,0.094,0.024,0.411,0.262,0.00,0.00,0.00,508
Client  10,0.124,0.045,0.158,0.154,0.043,0.036,0.216,0.073,0.133,0.017,467
Client  11,0.050,0.044,0.018,0.201,0.042,0.050,0.113,0.036,0.036,0.408,497
Client  12,0.043,0.269,0.011,0.013,0.131,0.213,0.237,0.008,0.056,0.019,375
Client  13,0.102,0.003,0.155,0.345,0.109,0.121,0.031,0.065,0.056,0.012,322
Client  14,0.082,0.066,0.176,0.577,0.038,0.044,0.018,0.00,0.00,0.00,501
Client  15,0.019,0.344,0.029,0.072,0.182,0.053,0.091,0.038,0.153,0.019,209
Client  16,0.192,0.063,0.031,0.087,0.056,0.118,0.454,0.00,0.00,0.00,910
Client  17,0.143,0.061,0.177,0.091,0.095,0.043,0.139,0.017,0.065,0.169,231
Client  18,0.117,0.045,0.003,0.166,0.009,0.048,0.051,0.021,0.139,0.401,332
Client  19,0.083,0.027,0.002,0.081,0.005,0.097,0.157,0.279,0.108,0.161,566
Client  20,0.173,0.060,0.080,0.002,0.045,0.270,0.030,0.106,0.035,0.199,463
Client  21,0.012,0.188,0.141,0.049,0.145,0.004,0.004,0.100,0.356,0.00,688
Client  22,0.123,0.031,0.099,0.035,0.019,0.014,0.373,0.151,0.156,0.00,577
Client  23,0.059,0.320,0.043,0.040,0.008,0.047,0.004,0.186,0.079,0.213,253
Client  24,0.017,0.166,0.192,0.217,0.215,0.019,0.086,0.021,0.067,0.00,525
Client  25,0.00,0.028,0.359,0.003,0.043,0.054,0.023,0.322,0.094,0.074,351
Client  26,0.380,0.008,0.072,0.133,0.131,0.057,0.055,0.165,0.00,0.00,527
Client  27,0.260,0.018,0.022,0.103,0.241,0.030,0.065,0.262,0.00,0.00,507
Client  28,0.024,0.294,0.050,0.016,0.011,0.017,0.008,0.030,0.551,0.00,888
Client  29,0.044,0.147,0.006,0.260,0.080,0.012,0.058,0.195,0.169,0.030,503
Client  30,0.084,0.013,0.011,0.008,0.141,0.064,0.345,0.233,0.101,0.00,533
Client  31,0.044,0.158,0.034,0.064,0.386,0.017,0.148,0.070,0.010,0.070,298
Client  32,0.017,0.143,0.103,0.033,0.017,0.003,0.048,0.333,0.030,0.274,603
Client  33,0.255,0.021,0.144,0.085,0.137,0.078,0.007,0.212,0.002,0.059,424
Client  34,0.429,0.002,0.00,0.082,0.074,0.096,0.178,0.020,0.110,0.008,499
Client  35,0.104,0.107,0.161,0.042,0.144,0.00,0.248,0.020,0.122,0.052,403
Client  36,0.001,0.058,0.197,0.169,0.001,0.005,0.012,0.058,0.022,0.476,775
