Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.002,0.124,0.110,0.103,0.009,0.105,0.069,0.069,0.142,0.268,437
Client   1,0.116,0.021,0.151,0.075,0.094,0.016,0.023,0.095,0.057,0.354,577
Client   2,0.416,0.024,0.027,0.132,0.083,0.006,0.210,0.101,0.00,0.00,661
Client   3,0.209,0.146,0.008,0.029,0.002,0.014,0.006,0.228,0.008,0.350,623
Client   4,0.157,0.018,0.007,0.00,0.136,0.282,0.016,0.005,0.053,0.327,568
Client   5,0.00,0.169,0.266,0.008,0.009,0.253,0.093,0.061,0.141,0.00,644
Client   6,0.293,0.390,0.083,0.035,0.200,0.00,0.00,0.00,0.00,0.00,605
Client   7,0.152,0.023,0.013,0.021,0.115,0.042,0.113,0.121,0.202,0.200,480
Client   8,0.001,0.116,0.292,0.00,0.134,0.075,0.094,0.052,0.236,0.00,692
Client   9,0.040,0.080,0.323,0.020,0.005,0.199,0.100,0.035,0.035,0.164,201
Client  10,0.056,0.035,0.056,0.058,0.014,0.139,0.257,0.003,0.383,0.00,799
Client  11,0.139,0.335,0.106,0.158,0.041,0.046,0.039,0.005,0.131,0.00,633
Client  12,0.152,0.083,0.019,0.088,0.145,0.046,0.124,0.027,0.317,0.00,678
Client  13,0.034,0.288,0.00,0.00,0.121,0.239,0.049,0.235,0.023,0.011,264
Client  14,0.166,0.004,0.242,0.287,0.110,0.106,0.030,0.014,0.024,0.016,499
Client  15,0.032,0.086,0.105,0.013,0.00,0.002,0.533,0.230,0.00,0.00,627
Client  16,0.003,0.147,0.088,0.174,0.110,0.478,0.00,0.00,0.00,0.00,626
Client  17,0.032,0.050,0.129,0.237,0.124,0.118,0.025,0.284,0.00,0.00,834
Client  18,0.030,0.126,0.314,0.303,0.002,0.159,0.067,0.00,0.00,0.00,628
Client  19,0.025,0.018,0.140,0.048,0.120,0.005,0.399,0.031,0.120,0.094,393
Client  20,0.006,0.485,0.129,0.154,0.039,0.008,0.178,0.00,0.00,0.00,618
Client  21,0.099,0.123,0.099,0.252,0.002,0.170,0.148,0.016,0.093,0.00,636
Client  22,0.065,0.001,0.216,0.002,0.172,0.209,0.026,0.308,0.00,0.00,804
Client  23,0.117,0.039,0.074,0.259,0.511,0.00,0.00,0.00,0.00,0.00,760
Client  24,0.358,0.046,0.026,0.086,0.221,0.020,0.018,0.136,0.028,0.061,544
Client  25,0.147,0.021,0.009,0.159,0.065,0.015,0.056,0.106,0.356,0.068,340
Client  26,0.022,0.110,0.152,0.088,0.002,0.079,0.015,0.162,0.130,0.240,592
Client  27,0.245,0.072,0.020,0.085,0.227,0.100,0.251,0.00,0.00,0.00,649
Client  28,0.027,0.052,0.008,0.041,0.249,0.244,0.003,0.107,0.137,0.132,365
Client  29,0.008,0.061,0.096,0.048,0.016,0.018,0.225,0.032,0.039,0.457,1021
Client  30,0.019,0.040,0.066,0.262,0.015,0.034,0.057,0.129,0.023,0.355,527
Client  31,0.028,0.137,0.270,0.022,0.009,0.078,0.024,0.077,0.113,0.242,744
Client  32,0.001,0.053,0.151,0.197,0.095,0.306,0.197,0.00,0.00,0.00,736
Client  33,0.005,0.099,0.247,0.060,0.137,0.020,0.033,0.128,0.001,0.271,798
Client  34,0.028,0.178,0.012,0.002,0.093,0.090,0.027,0.055,0.516,0.00,601
Client  35,0.140,0.297,0.034,0.002,0.396,0.005,0.025,0.065,0.014,0.023,444
Client  36,0.277,0.011,0.199,0.104,0.028,0.061,0.025,0.156,0.093,0.046,527
Client  37,0.053,0.094,0.036,0.058,0.120,0.062,0.011,0.472,0.065,0.029,449
Client  38,0.017,0.111,0.066,0.058,0.111,0.039,0.199,0.078,0.235,0.086,361
Client  39,0.275,0.058,0.145,0.012,0.042,0.017,0.058,0.356,0.038,0.00,601
Client  40,0.008,0.033,0.018,0.016,0.041,0.023,0.161,0.085,0.141,0.475,615
Client  41,0.283,0.209,0.036,0.031,0.067,0.011,0.263,0.045,0.051,0.004,449
Client  42,0.178,0.007,0.230,0.071,0.017,0.001,0.083,0.207,0.205,0.00,687
Client  43,0.508,0.112,0.004,0.056,0.046,0.047,0.226,0.00,0.00,0.00,695
Client  44,0.086,0.00,0.193,0.032,0.189,0.254,0.134,0.025,0.082,0.004,476
Client  45,0.119,0.002,0.101,0.277,0.262,0.057,0.084,0.030,0.017,0.052,405
Client  46,0.028,0.082,0.025,0.038,0.041,0.047,0.397,0.019,0.047,0.274,317
Client  47,0.005,0.434,0.212,0.181,0.005,0.034,0.036,0.052,0.003,0.039,387
Client  48,0.032,0.295,0.059,0.181,0.173,0.071,0.021,0.098,0.071,0.00,631
Client  49,0.134,0.070,0.035,0.027,0.054,0.337,0.023,0.030,0.001,0.290,829
Client  50,0.022,0.003,0.129,0.182,0.002,0.093,0.059,0.231,0.091,0.188,581
Client  51,0.076,0.029,0.083,0.163,0.052,0.004,0.105,0.231,0.117,0.140,515
Client  52,0.046,0.071,0.142,0.011,0.003,0.197,0.003,0.016,0.098,0.413,366
Client  53,0.118,0.099,0.049,0.010,0.239,0.149,0.001,0.048,0.286,0.00,689
Client  54,0.044,0.040,0.006,0.150,0.175,0.150,0.004,0.264,0.085,0.083,527
Client  55,0.102,0.349,0.00,0.159,0.072,0.022,0.084,0.090,0.048,0.076,502
Client  56,0.006,0.086,0.049,0.035,0.099,0.050,0.091,0.175,0.364,0.045,536
Client  57,0.114,0.020,0.013,0.587,0.266,0.00,0.00,0.00,0.00,0.00,685
Client  58,0.274,0.103,0.203,0.005,0.032,0.008,0.118,0.055,0.202,0.00,620
Client  59,0.001,0.016,0.127,0.078,0.097,0.001,0.040,0.305,0.176,0.157,669
Client  60,0.084,0.413,0.014,0.034,0.025,0.015,0.125,0.289,0.00,0.00,726
Client  61,0.024,0.070,0.065,0.070,0.206,0.096,0.215,0.085,0.039,0.130,540
Client  62,0.040,0.319,0.002,0.245,0.002,0.393,0.00,0.00,0.00,0.00,605
Client  63,0.023,0.094,0.298,0.002,0.00,0.036,0.254,0.00,0.015,0.279,477
Client  64,0.025,0.016,0.040,0.243,0.089,0.019,0.333,0.056,0.178,0.00,675
Client  65,0.045,0.215,0.033,0.001,0.109,0.010,0.076,0.286,0.225,0.00,671
Client  66,0.161,0.011,0.120,0.055,0.193,0.018,0.005,0.163,0.152,0.122,435
Client  67,0.053,0.067,0.073,0.323,0.361,0.122,0.00,0.00,0.00,0.00,640
Client  68,0.007,0.015,0.013,0.072,0.086,0.005,0.095,0.270,0.048,0.390,852
Client  69,0.061,0.016,0.005,0.020,0.030,0.009,0.038,0.179,0.641,0.00,1287
Client  70,0.001,0.018,0.005,0.009,0.011,0.010,0.030,0.203,0.351,0.361,871
Client  71,0.058,0.058,0.023,0.054,0.006,0.171,0.043,0.144,0.028,0.415,791
Client  72,0.061,0.101,0.135,0.419,0.105,0.050,0.129,0.00,0.00,0.00,621
Client  73,0.275,0.154,0.012,0.108,0.016,0.060,0.045,0.033,0.016,0.281,752
Client  74,0.402,0.022,0.045,0.063,0.173,0.159,0.014,0.021,0.060,0.041,584
Client  75,0.035,0.398,0.006,0.002,0.018,0.025,0.104,0.004,0.008,0.400,510
Client  76,0.023,0.195,0.407,0.153,0.011,0.211,0.00,0.00,0.00,0.00,621
Client  77,0.030,0.058,0.080,0.026,0.022,0.026,0.042,0.178,0.078,0.459,499
Client  78,0.044,0.094,0.109,0.082,0.076,0.112,0.482,0.00,0.00,0.00,680
Client  79,0.114,0.041,0.026,0.039,0.103,0.249,0.198,0.159,0.006,0.065,465
Client  80,0.233,0.015,0.225,0.080,0.011,0.022,0.001,0.411,0.00,0.00,785
Client  81,0.024,0.205,0.002,0.007,0.009,0.225,0.216,0.076,0.065,0.171,551
Client  82,0.060,0.091,0.231,0.112,0.329,0.177,0.00,0.00,0.00,0.00,605
Client  83,0.217,0.053,0.358,0.373,0.00,0.00,0.00,0.00,0.00,0.00,646
Client  84,0.018,0.006,0.410,0.014,0.065,0.018,0.200,0.026,0.242,0.00,719
Client  85,0.216,0.003,0.036,0.230,0.057,0.281,0.176,0.00,0.00,0.00,716
Client  86,0.129,0.084,0.00,0.015,0.061,0.205,0.023,0.049,0.053,0.380,263
Client  87,0.103,0.295,0.072,0.074,0.021,0.127,0.195,0.074,0.007,0.034,584
Client  88,0.023,0.520,0.052,0.017,0.389,0.00,0.00,0.00,0.00,0.00,656
Client  89,0.336,0.008,0.047,0.111,0.034,0.285,0.021,0.119,0.040,0.00,622
Client  90,0.002,0.033,0.013,0.029,0.00,0.007,0.072,0.719,0.042,0.083,456
Client  91,0.027,0.114,0.014,0.256,0.147,0.100,0.009,0.043,0.290,0.00,632
Client  92,0.089,0.025,0.032,0.032,0.179,0.041,0.101,0.380,0.120,0.00,631
Client  93,0.138,0.095,0.043,0.098,0.067,0.072,0.200,0.088,0.065,0.135,601
Client  94,0.019,0.039,0.128,0.053,0.267,0.097,0.00,0.042,0.255,0.100,431
Client  95,0.174,0.006,0.038,0.047,0.259,0.140,0.133,0.070,0.061,0.072,528
Client  96,0.043,0.197,0.013,0.114,0.039,0.028,0.032,0.150,0.141,0.242,533
Client  97,0.043,0.061,0.250,0.213,0.021,0.070,0.342,0.00,0.00,0.00,719
Client  98,0.097,0.386,0.113,0.019,0.037,0.008,0.191,0.023,0.127,0.00,648
Client  99,0.083,0.501,0.008,0.058,0.241,0.107,0.002,0.00,0.00,0.00,605
